brief_date,signal_date,symbol,name,action,current_weight,target_weight,weight_change,account_id,strategy_id
2026-06-30,2026-06-29,SZ.300285,国瓷材料,关注买入,0.0,0.0157,0.0157,,
2026-06-30,2026-06-29,SZ.301217,铜冠铜箔,关注买入,0.0,0.0167,0.0167,,
2026-06-30,2026-06-29,SZ.301526,国际复材,关注买入,0.0,0.0154,0.0154,,
2026-07-01,2026-06-30,SH.600183,生益科技,关注买入,0.0,0.0163,0.0163,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SH.600378,昊华科技,关注买入,0.0,0.0154,0.0154,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SH.600584,长电科技,关注买入,0.0,0.0144,0.0144,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SH.600869,远东股份,关注买入,0.0,0.0175,0.0175,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SH.603986,兆易创新,关注买入,0.0,0.0108,0.0108,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SH.605376,博迁新材,关注买入,0.0,0.012,0.012,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SH.688347,华虹公司,关注买入,0.0,0.0115,0.0115,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SH.688766,普冉股份,关注买入,0.0,0.0066,0.0066,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SZ.000636,风华高科,关注卖出,0.0289,0.0,-0.0289,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SZ.300285,国瓷材料,关注卖出,0.0103,0.0,-0.0103,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SZ.301217,铜冠铜箔,关注减仓,0.0165,0.0086,-0.0079,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SZ.301377,鼎泰高科,关注买入,0.0,0.0089,0.0089,default,legacy_momentum_low_turnover_v1
2026-07-01,2026-06-30,SZ.301526,国际复材,关注卖出,0.0139999999999999,0.0,-0.0139999999999999,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SH.600176,中国巨石,关注买入,0.0,0.0103,0.0103,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SH.600183,生益科技,关注买入,0.0,0.0167,0.0167,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SH.600378,昊华科技,关注卖出,0.0162,0.0,-0.0162,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SH.600584,长电科技,关注加仓,0.0107,0.0144,0.0037,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SH.600869,远东股份,关注卖出,0.0161,0.0,-0.0161,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SH.603986,兆易创新,关注买入,0.0,0.0108,0.0108,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SH.605376,博迁新材,关注买入,0.0,0.0113999999999999,0.0113999999999999,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SH.688347,华虹公司,关注买入,0.0,0.0116999999999999,0.0116999999999999,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SZ.000636,风华高科,关注卖出,0.0074,0.0,-0.0074,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SZ.300285,国瓷材料,关注卖出,0.0098999999999999,0.0,-0.0098999999999999,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SZ.300408,三环集团,关注买入,0.0,0.016,0.016,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SZ.301217,铜冠铜箔,关注减仓,0.0165,0.0085,-0.008,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SZ.301377,鼎泰高科,关注买入,0.0,0.0088,0.0088,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SZ.301511,德福科技,关注买入,0.0,0.0141999999999999,0.0141999999999999,default,legacy_momentum_low_turnover_v1
2026-07-02,2026-07-01,SZ.301526,国际复材,关注卖出,0.0046999999999999,0.0,-0.0046999999999999,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SH.600176,中国巨石,关注卖出,0.0068,0.0,-0.0068,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SH.600183,生益科技,关注加仓,0.0153,0.0166,0.0013,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SH.600584,长电科技,关注加仓,0.0096,0.0144,0.0048,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SH.600869,远东股份,关注卖出,0.003,0.0,-0.003,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SH.688146,中船特气,关注买入,0.0,0.01,0.01,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SH.688347,华虹公司,关注买入,0.0,0.0118999999999999,0.0118999999999999,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SZ.000636,风华高科,关注加仓,0.0067,0.0187999999999999,0.0121,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SZ.000725,京东方Ａ,关注买入,0.0,0.017,0.017,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SZ.300285,国瓷材料,关注减仓,0.0093,0.0079,-0.0015,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SZ.300408,三环集团,关注买入,0.0,0.016,0.016,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SZ.301217,铜冠铜箔,关注减仓,0.0159,0.0084,-0.0075,default,legacy_momentum_low_turnover_v1
2026-07-03,2026-07-02,SZ.301526,国际复材,关注买入,0.0,0.0076,0.0076,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SH.600176,中国巨石,关注买入,0.0,0.0102,0.0102,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SH.600183,生益科技,关注加仓,0.0162,0.0165,0.0003,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SH.600584,长电科技,关注加仓,0.0092,0.0144,0.0052,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SH.600869,远东股份,关注卖出,0.0029,0.0,-0.0029,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SH.603256,宏和科技,关注买入,0.0,0.0139,0.0139,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SH.603986,兆易创新,关注买入,0.0,0.0106,0.0106,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SH.688146,中船特气,关注买入,0.0,0.0101,0.0101,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SH.688347,华虹公司,关注买入,0.0,0.0118,0.0118,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SH.688766,普冉股份,关注买入,0.0,0.0066,0.0066,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SZ.000636,风华高科,关注卖出,0.0127,0.0,-0.0127,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SZ.000725,京东方Ａ,关注卖出,0.016,0.0,-0.016,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SZ.300285,国瓷材料,关注减仓,0.0091,0.0079,-0.0013,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SZ.300408,三环集团,关注卖出,0.0146,0.0,-0.0146,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SZ.301217,铜冠铜箔,关注卖出,0.0156,0.0,-0.0156,default,legacy_momentum_low_turnover_v1
2026-07-06,2026-07-03,SZ.301526,国际复材,关注加仓,0.0046999999999999,0.0076,0.0028,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SH.600176,中国巨石,关注卖出,0.0065,0.0,-0.0065,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SH.600183,生益科技,关注卖出,0.0156,0.0,-0.0156,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SH.600584,长电科技,关注加仓,0.0096,0.0146,0.005,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SH.600869,远东股份,关注卖出,0.0026,0.0,-0.0026,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SH.688012,DR中微公,关注买入,0.0,0.0104,0.0104,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SH.688126,沪硅产业,关注买入,0.0,0.0137,0.0137,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SH.688766,普冉股份,关注买入,0.0,0.0066,0.0066,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SZ.000021,深科技,关注买入,0.0,0.0157,0.0157,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SZ.000636,风华高科,关注卖出,0.0059,0.0,-0.0059,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SZ.000725,京东方Ａ,关注加仓,0.0016,0.0168,0.0153,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SZ.002371,北方华创,关注买入,0.0,0.0212,0.0212,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SZ.300223,北京君正,关注买入,0.0,0.0124,0.0124,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SZ.300285,国瓷材料,关注卖出,0.0089,0.0,-0.0089,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SZ.300408,三环集团,关注卖出,0.0143,0.0,-0.0143,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SZ.300604,长川科技,关注买入,0.0,0.0162,0.0162,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SZ.300666,江丰电子,关注买入,0.0,0.0086,0.0086,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SZ.301217,铜冠铜箔,关注卖出,0.0146,0.0,-0.0146,default,legacy_momentum_low_turnover_v1
2026-07-07,2026-07-06,SZ.301526,国际复材,关注卖出,0.0040999999999999,0.0,-0.0040999999999999,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SH.600118,中国卫星,关注买入,0.0,0.0262,0.0262,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SH.600584,长电科技,关注卖出,0.0101,0.0,-0.0101,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SH.688012,DR中微公,关注买入,0.0,0.0101,0.0101,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SH.688017,绿的谐波,关注买入,0.0,0.0147,0.0147,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SH.688126,沪硅产业,关注减仓,0.0144999999999999,0.0134,-0.0011,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SH.688629,华丰科技,关注买入,0.0,0.0156,0.0156,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SH.688702,盛科通信,关注买入,0.0,0.0149,0.0149,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SZ.000021,深科技,关注卖出,0.0108,0.0,-0.0108,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SZ.000100,TCL科技,关注买入,0.0,0.0218,0.0218,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SZ.000725,京东方Ａ,关注加仓,0.0159,0.0172,0.0013,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SZ.002371,北方华创,关注买入,0.0,0.019,0.019,default,legacy_momentum_low_turnover_v1
2026-07-08,2026-07-07,SZ.300223,北京君正,关注买入,0.0,0.0123,0.0123,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SH.600118,中国卫星,关注卖出,0.0233999999999999,0.0,-0.0233999999999999,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SH.600176,中国巨石,关注买入,0.0,0.01,0.01,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SH.600584,长电科技,关注卖出,0.0093999999999999,0.0,-0.0093999999999999,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SH.603256,宏和科技,关注买入,0.0,0.0133,0.0133,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SH.688126,沪硅产业,关注卖出,0.013,0.0,-0.013,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SH.688146,中船特气,关注买入,0.0,0.0104,0.0104,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SH.688766,普冉股份,关注买入,0.0,0.0065,0.0065,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SZ.000021,深科技,关注卖出,0.0051,0.0,-0.0051,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SZ.000100,TCL科技,关注卖出,0.0207,0.0,-0.0207,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SZ.000725,京东方Ａ,关注加仓,0.0161,0.0165,0.0005,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SZ.300223,北京君正,关注买入,0.0,0.0121,0.0121,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SZ.300285,国瓷材料,关注买入,0.0,0.0079,0.0079,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SZ.300666,江丰电子,关注买入,0.0,0.0084,0.0084,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SZ.301217,铜冠铜箔,关注买入,0.0,0.0084,0.0084,default,legacy_momentum_low_turnover_v1
2026-07-09,2026-07-08,SZ.301526,国际复材,关注买入,0.0,0.0077,0.0077,default,legacy_momentum_low_turnover_v1
2026-07-10,2026-07-09,SH.600176,中国巨石,关注卖出,0.006,0.0,-0.006,default,legacy_momentum_low_turnover_v1
2026-07-10,2026-07-09,SH.600869,远东股份,关注卖出,0.0023,0.0,-0.0023,default,legacy_momentum_low_turnover_v1
2026-07-10,2026-07-09,SH.688146,中船特气,关注买入,0.0,0.02,0.02,default,legacy_momentum_low_turnover_v1
2026-07-10,2026-07-09,SH.688766,普冉股份,关注买入,0.0,0.0129,0.0129,default,legacy_momentum_low_turnover_v1
2026-07-10,2026-07-09,SZ.000725,京东方Ａ,关注加仓,0.0174,0.0314,0.0139999999999999,default,legacy_momentum_low_turnover_v1
2026-07-10,2026-07-09,SZ.300285,国瓷材料,关注买入,0.0,0.0157,0.0157,default,legacy_momentum_low_turnover_v1
2026-07-10,2026-07-09,SZ.301526,国际复材,关注加仓,0.0039,0.0148,0.0108,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SH.600176,中国巨石,关注加仓,0.0056999999999999,0.0096,0.0039,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SH.600869,远东股份,关注卖出,0.0023,0.0,-0.0023,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SH.688146,中船特气,关注买入,0.0,0.01,0.01,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SH.688347,华虹公司,关注买入,0.0,0.0129,0.0129,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SH.688498,源杰科技,关注买入,0.0,0.0128,0.0128,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SH.688766,普冉股份,关注买入,0.0,0.0064,0.0064,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SZ.000725,京东方Ａ,关注卖出,0.0301,0.0,-0.0301,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SZ.002409,雅克科技,关注买入,0.0,0.0116,0.0116,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SZ.300223,北京君正,关注买入,0.0,0.0116,0.0116,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SZ.300285,国瓷材料,关注加仓,0.0075,0.0079,0.0003,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SZ.300666,江丰电子,关注买入,0.0,0.0085,0.0085,default,legacy_momentum_low_turnover_v1
2026-07-13,2026-07-10,SZ.301526,国际复材,关注减仓,0.0115,0.0074,-0.0042,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SH.600176,中国巨石,关注卖出,0.0051,0.0,-0.0051,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SH.600869,远东股份,关注卖出,0.0021,0.0,-0.0021,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SH.688082,盛美上海,关注买入,0.0,0.0116999999999999,0.0116999999999999,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SH.688146,中船特气,关注买入,0.0,0.01,0.01,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SH.688347,华虹公司,关注买入,0.0,0.0127,0.0127,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SH.688361,中科飞测,关注买入,0.0,0.0113,0.0113,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SH.688766,普冉股份,关注买入,0.0,0.0064,0.0064,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SZ.000725,京东方Ａ,关注卖出,0.0021,0.0,-0.0021,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SZ.002409,雅克科技,关注买入,0.0,0.0116999999999999,0.0116999999999999,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SZ.300285,国瓷材料,关注卖出,0.0065,0.0,-0.0065,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SZ.300604,长川科技,关注买入,0.0,0.0163,0.0163,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SZ.300666,江丰电子,关注买入,0.0,0.0086,0.0086,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SZ.301217,铜冠铜箔,关注买入,0.0,0.0081999999999999,0.0081999999999999,default,legacy_momentum_low_turnover_v1
2026-07-14,2026-07-13,SZ.301526,国际复材,关注减仓,0.0104,0.0073,-0.0031,default,legacy_momentum_low_turnover_v1
2026-07-15,2026-07-14,SH.688146,中船特气,关注买入,0.0,0.01,0.01,default,legacy_momentum_low_turnover_v1
2026-07-15,2026-07-14,SH.688347,华虹公司,关注买入,0.0,0.0131,0.0131,default,legacy_momentum_low_turnover_v1
2026-07-15,2026-07-14,SH.688361,中科飞测,关注买入,0.0,0.0112,0.0112,default,legacy_momentum_low_turnover_v1
2026-07-15,2026-07-14,SH.688498,源杰科技,关注买入,0.0,0.0125,0.0125,default,legacy_momentum_low_turnover_v1
2026-07-15,2026-07-14,SH.688766,普冉股份,关注买入,0.0,0.0064,0.0064,default,legacy_momentum_low_turnover_v1
2026-07-15,2026-07-14,SZ.000636,风华高科,关注买入,0.0,0.0149,0.0149,default,legacy_momentum_low_turnover_v1
2026-07-15,2026-07-14,SZ.002409,雅克科技,关注买入,0.0,0.0116999999999999,0.0116999999999999,default,legacy_momentum_low_turnover_v1
2026-07-15,2026-07-14,SZ.300604,长川科技,关注买入,0.0,0.0146,0.0146,default,legacy_momentum_low_turnover_v1
2026-07-15,2026-07-14,SZ.300666,江丰电子,关注买入,0.0,0.0087,0.0087,default,legacy_momentum_low_turnover_v1
2026-07-15,2026-07-14,SZ.301526,国际复材,关注减仓,0.008,0.0074,-0.0005,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SH.603501,豪威集团,关注买入,0.0,0.0249,0.0249,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SH.688120,华海清科,关注买入,0.0,0.0103,0.0103,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SH.688347,华虹公司,关注买入,0.0,0.0129,0.0129,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SH.688361,中科飞测,关注买入,0.0,0.0113,0.0113,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SZ.000636,风华高科,关注卖出,0.0111,0.0,-0.0111,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SZ.000938,紫光股份,关注买入,0.0,0.0204,0.0204,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SZ.000977,浪潮信息,关注买入,0.0,0.0208,0.0208,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SZ.002050,三花智控,关注买入,0.0,0.0281,0.0281,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SZ.002185,华天科技,关注买入,0.0,0.0159,0.0159,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SZ.002594,比亚迪,关注买入,0.0,0.038,0.038,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SZ.300124,汇川技术,关注买入,0.0,0.0345,0.0345,default,legacy_momentum_low_turnover_v1
2026-07-16,2026-07-15,SZ.301526,国际复材,关注卖出,0.0076,0.0,-0.0076,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SH.603501,豪威集团,关注卖出,0.0224,0.0,-0.0224,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SH.688072,拓荆科技,关注买入,0.0,0.0141,0.0141,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SH.688082,盛美上海,关注买入,0.0,0.0118,0.0118,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SH.688146,中船特气,关注买入,0.0,0.0086,0.0086,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SH.688347,华虹公司,关注买入,0.0,0.0129,0.0129,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SH.688361,中科飞测,关注买入,0.0,0.0113,0.0113,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SH.688629,华丰科技,关注买入,0.0,0.0171,0.0171,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SH.688702,盛科通信,关注买入,0.0,0.0149,0.0149,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SZ.000636,风华高科,关注卖出,0.0053,0.0,-0.0053,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SZ.000938,紫光股份,关注卖出,0.0197,0.0,-0.0197,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SZ.000977,浪潮信息,关注卖出,0.0173,0.0,-0.0173,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SZ.002050,三花智控,关注卖出,0.0256,0.0,-0.0256,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SZ.002185,华天科技,关注卖出,0.0148,0.0,-0.0148,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SZ.002594,比亚迪,关注卖出,0.0384,0.0,-0.0384,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SZ.300124,汇川技术,关注卖出,0.0306999999999999,0.0,-0.0306999999999999,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SZ.300223,北京君正,关注买入,0.0,0.0107,0.0107,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SZ.300604,长川科技,关注买入,0.0,0.0139999999999999,0.0139999999999999,default,legacy_momentum_low_turnover_v1
2026-07-17,2026-07-16,SZ.301526,国际复材,关注加仓,0.0034999999999999,0.0074,0.0039,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SH.600176,中国巨石,关注买入,0.0,0.009399999999999999,0.009399999999999999,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SH.600584,长电科技,关注买入,0.0,0.014199999999999999,0.014199999999999999,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SH.603501,豪威集团,关注卖出,0.010700000000000001,0.0,-0.010700000000000001,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SH.688012,DR中微公,关注买入,0.0,0.0141,0.0141,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SH.688072,拓荆科技,关注买入,0.0,0.0141,0.0141,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SH.688347,华虹公司,关注买入,0.0,0.0129,0.0129,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SH.688361,中科飞测,关注买入,0.0,0.011200000000000002,0.011200000000000002,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SH.688498,源杰科技,关注买入,0.0,0.0123,0.0123,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SZ.000636,风华高科,关注卖出,0.0048,0.0,-0.0048,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SZ.000938,紫光股份,关注卖出,0.0036,0.0,-0.0036,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SZ.000977,浪潮信息,关注卖出,0.0079,0.0,-0.0079,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SZ.002050,三花智控,关注卖出,0.0040999999999999995,0.0,-0.0040999999999999995,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SZ.002185,华天科技,关注卖出,0.0019,0.0,-0.0019,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SZ.002594,比亚迪,关注卖出,0.0096,0.0,-0.0096,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SZ.300124,汇川技术,关注卖出,0.0060999999999999995,0.0,-0.0060999999999999995,default,legacy_momentum_low_turnover_v1
2026-07-20,2026-07-17,SZ.300475,香农芯创,关注买入,0.0,0.0075,0.0075,default,legacy_momentum_low_turnover_v1
